isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
,pisanka,"Czeczot, Andrzej (1933-2012)",,,[1981],1 wydmuszka,"wys. 9 cm, średnica 6 cm.",Górale,,,,"Dedykacja: ""Joannie 4.III.81"", pozotałe napisy: ""ALLELUJA!"", ""Hej, owiecka"", ""ŚLEPOWRON"", ""WESOŁEGO JAJKA"". Sygn. pod kompoz. Tyt. nadany przez katalogującego."
,ekslibris biblioteki narodowej,,,,[1935],1 matryca graficzna,"6,7x5,4x2,3 cm.",Godło państwowe,,,,Sygn. monogramem. Nazwa aut. wzoru: Stanisław Ostoja-Chrostowski. Tyt. nadany przez katalogującego.
,ekslibris biblioteki narodowej,,,,[1935],1 matryca graficzna,"6,8x5,5x2,3 cm.",Godło państwowe,,,,Sygn. monogramem. Nazwa aut. wzoru: Stanisław Ostoja-Chrostowski. Tyt. nadany przez katalogującego.
,ekslibris biblioteki narodowej,,,,[1935],1 matryca graficzna,"9,5x8x2,3 cm.",Godło państwowe,,,,Sygn. monogramem. Nazwa aut. wzoru: Stanisław Ostoja-Chrostowski. Tyt. nadany przez katalogującego.
,ekslibris biblioteki narodowej,,,,[1935],1 matryca graficzna,"9,5x8x2,3 cm.",Godło państwowe,,,,Sygn. monogr. Nazwa aut. wzoru: Stanisław Ostoja-Chrostowski. Tyt. nadany przez katalogującego.
,stempel pocztowy biblioteki narodowej,,,,[1935],1 matryca graficzna,"6,3x7,6x0,8 cm.",Godło państwowe,,,,"Na aw. napis lustrzany dookoła: ""Biblioteka Narodowa w Warszawie"" i w środku: ""stempel pocztowy"". Tyt. nadany przez katalogującego."
,stempel pocztowy biblioteki narodowej,,,,[1935],1 matryca graficzna,"6,5x6,7x0,8 cm.",Godło państwowe,,,,"Na aw. napis lustrzany dookoła: ""Biblioteka Narodowa Józefa Piłsudskiego"" i w środku: ""stempel pocztowy"". Tyt. nadany przez katalogującego."
,matryce sprawozdań biblioteki narodowej,,,,[ca 1938],2 matryce graficzne,"jedna: 7x13,2x0,7 cm, druga: 1,3x21,1x0,7 cm.",,,,,"Napis lustrzany na jednej: ""Sprawozdanie Biblioteki Narodowej Józefa Piłsudskiego"", na drugiej: ""Sprawozdanie Biblioteki Narod. JP.  1.1937-8"". Tyt. nadany przez katalogującego."
,pieczęć biblioteka narodowa józefa piłsudskiego,,,,[ca 1935],1 pieczęć,"wys. 10,2 cm, średnica 4,4 cm.",Pieczęcie,,,,Tyt. nadany przez katalogującego.
,pieczęć biblioteka ordynacyi krasińskich,,,,[1901-1919],1 pieczęć,"wys. 6,9 cm, średnica 2,9 cm.",Bibliotekarstwo,,,,Tyt. nadany przez katalogującego.
,pieczęć staatsbibliothek warschau,,,,[1940],1 pieczęć,"wys. 7,4 cm, średnica 3,3 cm.",Generalne Gubernatorstwo (1939-1945),,,,Tyt. nadany przez katalogującego.
,"pieczęć staatsbibliothek warschau, abt. ii",,,,[1940],1 pieczęć,"wys. 3,8 cm, średnica 3,2 cm.",Generalne Gubernatorstwo (1939-1945),,,,Pieczęć z kolcem na zamocowanie uchwytu. Tyt. nadany przez katalogującego.
,pieczęć biblioteka narodowa józefa piłsudskiego,,,,[ca 1935],1 pieczęć,"6,1x4x2,1 cm.",Pieczęcie,,,,"Tyt. nadany przez katalogującego. Z boku metalowa tabliczka z napisem: ""ABC J. Tymienieckiej Marszałkowska 97 Tel. 9.81-11 i 8.68-65""."
,kalendarzyk kieszonkowy,,"Anc. Maison Léon Vauclin, Ph. Rosen, Succr",Paris,[1914],1 kalendarz (20 k.),"10,4x6,8x0,7 cm.",,,,,Sygn. pod kompoz. Tyt. nadany przez katalogującego. Wew. kalendarium wydarzeń 1 wojny światowej z 1914 r. 
,"pieczęć generalgouvernement staatsbibliothek in warschau, 2",,,,[1941],1 pieczęć,"wys. 6,8 cm, średnica  3,8 cm.",Generalne Gubernatorstwo (1939-1945),,,,Tyt. nadany przez katalogującego.
,gra towarzyska,,w Księgarni Stefana Dembego,Warszawa,[1903-1905],1 gra (32 k. i opakowanie),"7,5x10,4x1 cm.",Belweder w Warszawie,,,,"Poszczególne k. podpisane słowem ""Warszawa"" i nazwą obiektu widniejącego na k. ponumerowane od 1 do 15 po dwie tym samym numerem, dwie nie numerowane."
,klucz zawieszką,,,,[2000-2007],"1 klucz, 1 haczyk","klucz 29,1x11,6x1,7 cm, zawieszka 11,6x11,4x1x5 cm.",,,,,Tyt. nadany przez katalogującego.
,50 biblioteki narodowej warszawie,"Korski, Witold (1918-2003)",,,1978,1 medal.,"średnica 10,4 cm, grubość 0,4 cm.",Godło państwowe,,,,"Po bokach na aw. napisy: ""Kultura i sztuka"" oraz ""Budownictwo"". Na rew. litery ""BN"" i napis na otwartej księdze: ""Biblioheca Patria"". Sygn. na rancie. A. Kłossowski, Biblioteka Narodowa w Warszawie. Zbiory i działalność, Warszawa 1990"
,budynek biblioteki szkoły głównej handlowej warszawie,,,,[1945-1970],1 matryca graf.,"7,2x9,2x2,2 cm.",,,,,Tyt. nadany przez katalogującego.
,metalowe płytki liśćmi bambusa wersami jęz. chińskim,,,,[1950-1980],2 płytki,"każda 20,1x2,9x0,4 cm.",,,,,Płytki grawerowane. Tyt. nadany przez katalogującego. Wers w jęz. chińskim kursywą napisany przez Chen Zongdai dla osoby o pseudonimie Biały Smok.
,ilustracja boskiej komedii dantego : piekło : pieśń ii : wersy 52-85,"Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"31,2x24,8x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""Sudól 15/4 1939 , 25/4 1939"". Na rew. słabo czytelna piecz. producenta oraz adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszyn. w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszyn. w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń : wersy 13-60,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,9x25,1x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""16/9 1938"". Na rew. słabo czytelna piecz. producenta klocków oraz adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń iii : wersy 80-129,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,8x24,8x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""16/9/1938 - 24/9/1938"". Na rew. słabo czytelna piecz. producenta oraz adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń iv : wersy 7-12, 25-30, 64-147","Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,8x24,7x2,3 cm.",Piekło,,,,"Data wg napisu ołówkiem na rew.: ""1938 Perugia"". Na rew. słabo czytelna pieczątka producenta klocka oraz adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"dantes the divine comedy, inferno","Mrożewski, Stefan (1894-1975)",,,1969,1 matryca graficzna,"33,6x25x2,3 cm.",Poeci włoscy,,,,Na rew. znak zapytania ołówkiem. Sygn. pod kompoz.
,ilustracja boskiej komedii dantego : piekło : pieśń v : wersy 1-49,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,8x24,7x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""7/II/38 Firneze"". Na rew. słabo czytelna pieczątka producenta klocka. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń vi : wersy 1-27,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,9x24,8x2,3 cm.",Piekło,,,,"Data wg adnot. na rew.: ""12/11/1938"". Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,portret dantego alighieri,"Mrożewski, Stefan (1894-1975)",,,1943,1 matryca graficzna,"31,3x21,4x2,2 cm.",Poeci włoscy,,,,"Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. wg adnot. na rew.: ""portret Dante Alighieri wykonany przez Stefana Mrożewskiego"". Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń vii : wersy 1-66,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,8x24,7x2,3 cm.",Diabeł,,,,"Data wg adnot. ołówkiem na rew.: ""Palermo 14/12 1938"". Na rew. słabo czytelna piecz. producenta oraz adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń viii : wersy 17-24, 31-40, 68-75","Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,8x25x2,3 cm.",Piekło,,,,"Na rew. słabo czytelna piecz. producenta oraz adnot. ołówkiem i kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń ix : wersy 34-60,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,8x24,7x2,3 cm.",Erynie (bóstwa),,,,"Na rew. nieczytelna piecz. producenta. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń x : wersy 1-59,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,5x24,6x2,3 cm.",Erynie (bóstwa),,,,"Data wg adnot. ołówkiem na rew.: ""Palermo 10/1 1938, Sudól 11/3 1938"". Na rew. słabo czytelna piecz. producenta. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xi : wersy 1-66,"Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"31,5x24,6x2,3 cm.",Diabeł,,,,"Data wg adnot. ołówkiem na rew.: ""Palermo 21/[4] 193[8], Sudól 11/3 1939"". Na rew. słabo czytelna piecz. producenta. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xii : wersy 52-126,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,5x24,6x2,3 cm.",Centaury (postacie mitologiczne),,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Czarodziej rylca Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń xiii : wersy 7-24, 88-107, 115-132","Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,5x24,6x2,3 cm.",Piekło,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xiv : wersy 1-75,"Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"31x24x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na odwrocie: ""Sudól 15/6 1939"". Na rew. adnot. kredką. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,"ilustracja boskiej komedii dantego : piekło : pieśń xv : wersy 1-21, 103-118","Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"30,8x24,1x2,3 cm.",Piekło,,,,"Data wg adnot. ołówkiem na rew.: ""15-23/6 1939"". Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xvi : wersy 1-27,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"31,5x24,7x2,3 cm.",Piekło,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xvii : wersy 1-59,"Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"31,6x24,7x2,3 cm.",Piekło,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
,ilustracja boskiej komedii dantego : piekło : pieśń xviii : wersy 1-39,"Mrożewski, Stefan (1894-1975)",,,[1939],1 matryca graficzna,"31,2x24,5x2,3 cm.",Diabeł,,,,"Na rew. adnot. kredką i ołówkiem. Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Anna Filipowicz, Twórczość Stefana Mrożewskiego w publicznych zbiorach polskich, cz. II, Katalog, Warszawa 1995 (maszynopis w zbiorach ZZI) Marta Samek, Katalog prac Stefana Mrożewskiego ze zbiorów Muzeum Narodowego w Kielcach (maszynopis w zbiorach ZZI) Wiesława Ozdoba-Kosierkiewicz, Grafika polska. Katalog zbiorów. Muzeum Narodowe w Kielcach, Kraków 1986"
